File number,L,a,b
504.0,2.26652404952,1.17370580954,-2.66155484317
505.0,2.24311459083,1.10562575076,-2.55376314756
506.0,2.2806990257,0.984289319891,-2.28921272471
507.0,2.18887002407,1.05859956979,-2.60467243913
508.0,2.25232785945,1.11125437305,-2.5168239763
509.0,2.2522431116,1.0275029288,-2.26835016997
510.0,2.21865850291,1.01481555135,-2.36116684478
511.0,2.17642209243,1.13426842826,-2.64565219481
512.0,2.23780001434,1.05967187499,-2.27101571209
513.0,2.203288266,1.03543301647,-2.45393215377
514.0,2.20660839467,1.1128184537,-2.38975007081
515.0,2.15859172772,1.08613155992,-2.60505799428
516.0,2.20173534254,0.9823933715,-2.20000890242
517.0,2.17406387281,1.05598503046,-2.34425462811
518.0,2.17033673117,1.04658093923,-2.28778947123
519.0,2.17483865132,1.04279253406,-2.20059507326
520.0,2.15768389694,0.921778335852,-2.19569111891
521.0,2.11546453372,1.02197684699,-2.41363181388
522.0,2.16275243072,1.08935436068,-2.33614250523
523.0,2.15046608873,1.08720780666,-2.30263676411
524.0,2.1646019582,1.12006520142,-2.34501214324
525.0,2.1279965681,0.916019755853,-2.28098479437
526.0,2.14672398191,1.02730009533,-2.19892657258
527.0,2.11267260311,0.949961532697,-2.23973994005
528.0,2.14045585677,1.02097859496,-2.19776131778
529.0,2.15638320998,1.12365104966,-2.32206280092
530.0,2.1450179748,1.04554060807,-2.28206062808
531.0,2.17792259869,0.977725640488,-2.06281092349
532.0,2.12900965322,1.01688834963,-2.21502247943
533.0,2.12909993007,1.06670400909,-2.25113126703
534.0,2.12027966734,1.06162105511,-2.33141802817
535.0,2.1108774859,0.954664657073,-2.11790955801
536.0,2.07118614859,1.03979653634,-2.40395176516
537.0,2.12160225243,0.995681557041,-2.29141895173
538.0,2.14613140161,0.983767961631,-2.18039543053
539.0,2.15113428869,0.959268650175,-2.09729492546
540.0,2.11029094707,1.12215888626,-2.35514592675
541.0,2.14714441632,0.912527113325,-2.16951794796
542.0,2.1668380268,1.07592033363,-2.35735752748
543.0,2.24072200958,1.07433798232,-2.58633999602
544.0,2.3306947937,1.19741504001,-2.61652490153
545.0,2.44919552157,1.18762248532,-2.75829226953
546.0,2.58038923151,1.21550218301,-3.10949856599
547.0,2.72336119679,1.25592521103,-3.29117177068
548.0,2.92249383309,1.24383663623,-3.55969432259
549.0,3.1729955881,1.34518963767,-3.8061629337
550.0,3.37403614585,1.42513711814,-4.17520393382
551.0,3.70624905358,1.5590753166,-4.39314115341
552.0,4.07073217828,1.54635561342,-4.90317348551
553.0,4.48938721079,1.39977371095,-5.29546400065
554.0,4.88610444686,1.68934217888,-5.8861689867
555.0,5.35159685899,1.54657122045,-6.09229185612
556.0,5.83338399282,1.15083295685,-6.32666339733
557.0,6.30119946625,1.40944196848,-6.89144712733
558.0,6.70687025218,1.17610583869,-7.23324050537
559.0,7.16151772933,1.0762922904,-7.63491066919
560.0,7.59277469242,1.22620423356,-7.91612646129
561.0,7.91612051561,1.1795546019,-8.23014815503
562.0,8.16877829405,1.05717113685,-8.71691334801
563.0,8.43503423691,0.930525816122,-8.47632058538
564.0,8.76088208635,1.0733355853,-9.02190232631
565.0,8.85730845109,1.1932665344,-9.37562756285
566.0,9.04901864742,0.892576706034,-9.2453979949
567.0,9.18647019977,1.20898891826,-9.5783768582
568.0,9.27438835336,1.32707021923,-10.033071367
569.0,9.48936547011,0.759965404209,-9.28655935684
570.0,9.56723971355,0.664057932196,-9.34645646581
571.0,9.64300887067,0.639150043807,-9.68986757371
572.0,9.73482463566,1.07298956382,-9.78818023211
573.0,9.77348216113,0.48494943567,-9.54621887222
574.0,9.90051800327,0.819730051808,-9.76760027769
575.0,9.9051895397,0.60112930204,-9.82841740993
576.0,9.97041297957,0.966670879388,-10.2235272742
577.0,10.0332658417,0.784274839092,-9.86167031802
578.0,9.99202155609,1.27423178714,-10.5566098148
579.0,10.068754984,1.03219984988,-10.4075988443
580.0,10.0797686165,0.936885181244,-10.2327001308
581.0,10.0310344355,1.08163120434,-10.1689203152
582.0,10.0969095666,1.30366744922,-10.6000161736
583.0,10.102383318,0.939451669076,-10.4022593532
584.0,10.1633390428,0.828944948142,-10.1764606344
585.0,10.1419423904,0.836099462516,-10.3515347402
586.0,10.170391371,0.975892430906,-10.3527546559
587.0,10.1162122883,1.21086098428,-10.5949499327
588.0,10.1571524128,0.670682936713,-10.1496182186
589.0,10.1829422541,0.971475214668,-10.3697036198
590.0,10.2314723994,0.982779198793,-10.3594972406
591.0,10.1734283814,1.17962653612,-10.4838054557
592.0,10.1435399662,0.675132584236,-10.1110168222
593.0,10.1910429774,0.679421437066,-10.2266956579
594.0,10.1672784333,0.412717489402,-9.99571127934
595.0,10.2105946247,0.795318138563,-10.191944339
596.0,10.1554885745,1.03035797159,-10.219476181
597.0,10.2171015305,0.899513237578,-10.3482599888
598.0,10.2224138115,0.789587181452,-10.1321322968
599.0,10.2446569803,1.01452949806,-10.6165095706
600.0,10.2457971838,1.07145839221,-10.6378370426
601.0,8.28643243906,0.934924283783,-8.67319240636
602.0,6.21263918186,1.09202662761,-6.84240185776
603.0,4.97042912626,1.50934760093,-5.93521414665
604.0,4.22440945172,1.3650737205,-4.99759320243
605.0,3.74478051914,1.44405454079,-4.34768665217
606.0,3.4092222735,1.336227717,-4.0747615323
607.0,3.20356124873,1.2405072361,-3.69939382595
608.0,3.01767252729,1.46517575126,-3.73748052677
609.0,2.86266573996,1.27244685972,-3.29642246779
610.0,2.7566457629,1.27677638152,-3.32197686036
611.0,2.67293638229,1.21154382395,-3.17891964664
612.0,2.59278527751,1.28544804831,-3.28283502103
613.0,2.53298383705,1.21634562901,-3.0756533435
614.0,2.51285773305,1.17496965583,-2.86734525049
615.0,2.48084089662,1.19418193883,-2.89984759466
616.0,2.45038968227,1.09819594771,-2.7208383335
617.0,2.39994569784,1.17766458889,-2.82070648762
618.0,2.38768367879,1.14376764899,-2.75557352875
619.0,2.36632076988,1.06930324148,-2.51210662438
620.0,2.32623605483,1.15375691233,-2.70364200853
621.0,2.28844684994,1.08742752291,-2.75770963218
622.0,2.28809333959,1.11666766089,-2.71558624443
623.0,2.31638510687,1.095904584,-2.50994872143
624.0,2.29186894302,1.03787488727,-2.54712159776
625.0,2.24646411327,1.0933472458,-2.5690602447
626.0,2.31075443503,1.06196477858,-2.31902191515
627.0,2.28850800848,1.09764798205,-2.50530240262
628.0,2.2296709162,1.08713108294,-2.47808839487
629.0,2.21678597165,1.0214685411,-2.54843624968
630.0,2.23640850736,1.03955012786,-2.28343076428
631.0,2.23942981361,1.09651793144,-2.30918334946
632.0,2.20694473742,1.02388960434,-2.35928266759
633.0,2.19607991223,1.02012545311,-2.33688894784
634.0,2.18826822914,1.08248133541,-2.40420670482
635.0,2.21281931134,0.971689488429,-2.23880526679
